file_name,collision_voltage,mass,error,z,mz_intensity,mz_center,peak_sig,drift_intensity,drift_center,drift_sig,CCS
20210309_TK_LDAO_MYO_80_80_CV30_NANO_IMS1.raw,30.0,16957.21,49.77,4,0.0324152362648,4240.3105,8.48028178873,118.779136694,15.4992320529,0.732125160042,0.0
20210309_TK_LDAO_MYO_80_80_CV30_NANO_IMS1.raw,30.0,16957.21,49.77,5,0.13196283381,3392.45,6.78462861486,798.695775298,9.20527324074,0.60461447025,0.0
20210309_TK_LDAO_MYO_80_80_CV30_NANO_IMS1.raw,30.0,16957.21,49.77,6,0.368718539807,2827.20966667,5.65419316561,1131.74120047,6.1748770776,0.520635000771,0.0
20210309_TK_LDAO_MYO_80_80_CV30_NANO_IMS1.raw,30.0,16957.21,49.77,7,0.707097363062,2423.46657143,4.84673927329,1105.9251172,7.23920702089,1.73439417269,0.0
20210309_TK_LDAO_MYO_80_80_CV30_NANO_IMS1.raw,30.0,16957.21,49.77,8,0.930688527436,2120.65925,4.24114885405,2186.24432796,7.31697897878,0.928880704228,0.0
20210309_TK_LDAO_MYO_80_80_CV30_NANO_IMS1.raw,30.0,16957.21,49.77,9,0.840756828942,1885.14244444,3.77013408353,1042.37081164,7.35765649216,0.977839867056,0.0
20210309_TK_LDAO_MYO_80_80_CV30_NANO_IMS1.raw,30.0,16957.21,49.77,10,0.521287543046,1696.729,3.39332226711,670.579808705,6.82853251994,0.715856036683,0.0
20210309_TK_LDAO_MYO_80_80_CV30_NANO_IMS1.raw,30.0,16957.21,49.77,11,0.221832508712,1542.57254545,3.08502169004,833.482537,6.11035383097,0.42105615689,0.0
20210309_TK_LDAO_MYO_80_80_CV30_NANO_IMS1.raw,30.0,16957.21,49.77,12,0.0647908883745,1414.10883333,2.82810454248,645.575920543,5.46418989261,0.338231553187,0.0
20210309_TK_LDAO_MYO_80_80_CV30_NANO_IMS1.raw,30.0,16957.21,49.77,13,0.0129880388553,1305.40876923,2.61071310994,187.840653071,4.46770387978,0.809424599677,0.0
20210309_TK_LDAO_MYO_80_80_CV30_NANO_IMS1.raw,30.0,17560.0,49.77,4,0.0137937175595,4391.008,8.78166473341,32.1597958511,16.4423223427,0.610726120274,0.0
20210309_TK_LDAO_MYO_80_80_CV30_NANO_IMS1.raw,30.0,17560.0,49.77,5,0.056154397366,3513.008,7.0257349706,212.43850394,9.71777301841,0.544723005571,0.0
